name,num_threads,status,cpu_percent,create_time,pid,memory_percent,timestamp,system_cpu,system_memory,cpu_user_time,cpu_system_time,mem_rss,mem_vms,nice,ppid,read_speed,write_speed,record_id
chrome.exe,27,running,0,1763091741.2333486,12752,0.7105434807531971,1763091981.3701744,6.3,52.7,0.796875,0.484375,119312384,54657024,64,8736,0,0,1_12752
Code.exe,20,running,0,1763091699.9107409,13460,0.3074736714234628,1763091981.3701744,6.3,52.7,3.671875,3.0625,51630080,15507456,32,1220,0,0,1_13460
conhost.exe,2,running,0,1763091717.4493334,13856,0.042809702,1763091981.3701744,6.3,52.7,0,0,7188480,1212416,32,17964,0,0,1_13856
svchost.exe,5,running,0,1763091409.991007,14468,0.27420163,1763091981.3701744,6.3,52.7,0.359375,0.421875,46043136,10481664,32,1328,0,0,1_14468
RtkAudUService64.exe,15,running,0,1763091440.530612,15080,0.059250578967678796,1763091981.3701744,6.3,52.7,0.3125,0.59375,9949184,15044608,16384,2232,0,0,1_15080
svchost.exe,3,running,0,1763091530.0155067,15136,0.10037716445121378,1763091981.3701744,6.3,52.7,0.046875,0.078125,16855040,3055616,32,1328,0,0,1_15136
Code.exe,25,running,0,1763091700.6134589,15184,4.600615971848535,1763091981.3701744,6.3,52.7,11.265625,1.078125,772521984,775540736,32,1220,240,17456,1_15184
Code.exe,23,running,0,1763091700.5450077,15704,0.7080797885029971,1763091981.3701744,6.3,52.7,16.265625,8.3125,118898688,87592960,32,1220,0,0,1_15704
smartscreen.exe,5,running,0,1763091426.2352536,15740,0.080887163,1763091981.3701744,6.3,52.7,0,0.015625,13582336,2994176,32,1572,0,0,1_15740
chrome.exe,13,running,0,1763091790.4193456,15996,0.19272903434484567,1763091981.3701744,6.3,52.7,0.0625,0.03125,32362496,14221312,64,8736,0,0,1_15996
Code.exe,19,running,0.6,1763091699.9082823,16008,1.8659663601117977,1763091981.3701744,6.3,52.7,5.359375,6.703125,313327616,285720576,32768,1220,560,112,1_16008
conhost.exe,5,running,0,1763091782.810048,16084,0.050444709,1763091981.3701744,6.3,52.7,0.015625,0.03125,8470528,1437696,32,5856,0,0,1_16084
ipf_helper.exe,4,running,1.1,1763091408.1738253,16104,0.055201342,1763091981.3701744,6.3,52.7,0.359375,4.359375,9269248,1806336,32,4772,0,0,1_16104
chrome.exe,23,running,0,1763091746.0394993,16180,0.5656978908355039,1763091981.3701744,6.3,52.7,0.5,0.484375,94990336,38494208,64,8736,0,0,1_16180
chrome.exe,26,running,0,1763091746.2866237,16268,0.4373175709067705,1763091981.3701744,6.3,52.7,0.0625,0.078125,73433088,28209152,32,8736,0,0,1_16268
